Fecha,Personas afectadas,Personas curadas,Fallecidos
2020-03-08,2,0,0
2020-03-09,3,0,0
2020-03-10,11,0,0
2020-03-11,22,0,0
2020-03-12,29,0,0
2020-03-13,39,0,0
2020-03-14,53,0,0
2020-03-15,78,0,0
2020-03-16,103,1,0
2020-03-17,145,1,0
2020-03-18,168,1,0
2020-03-19,215,1,0
2020-03-20,240,1,1
2020-03-21,296,1,1
2020-03-22,345,1,3
2020-03-23,385,1,3
2020-03-24,477,4,5
2020-03-25,587,9,8
2020-03-26,687,12,15
2020-03-27,773,12,17
2020-03-28,836,16,20
2020-03-29,897,17,25
2020-03-30,920,20,34
2020-03-31,961,43,37
2020-04-01,997,45,42
2020-04-02,1009,90,46
2020-04-03,1024,113,51
2020-04-04,1046,130,59
2020-04-05,1035,156,68
2020-04-06,1012,193,78
2020-04-07,1048,193,85
2020-04-08,1049,219,88
